Pais;Jugadores;Porcentaje;Arqueros;Defensa;Medio_Campo;Delanteros;Goles;Goles/Jugador;Amarillas;Amarillas/Jugador;Rojas;Rojas/Jugador ;Longitud;Latitud
España;7931;73.49;1012;2424;2365;2129;47971;6.05;46976;5.92;3592;0.45;-4;40.0
Argentina;554;5.13;40;140;172;202;4987;9.00;5454;9.84;427;0.77;-64;-34
Brasil;299;2.77;9;79;96;115;2954;9.88;3025;10.12;231;0.77;-55;-10
Francia;215;1.99;14;74;81;46;1305;6.07;1730;8.05;137;0.64;2;46
Uruguay;196;1.82;14;54;53;75;1641;8.37;1714;8.74;122;0.62;-56.0;-34.5
Portugal;126;1.17;8;41;49;28;822;6.52;1310;10.4;105;0.83;-8.0;39.30
Paraguay;122;1.13;6;28;27;61;1204;9.87;465;3.81;60;0.49;-58;-23
Serbia;93;0.86;8;28;33;24;441;4.74;740;7.96;49;0.53;21;44
Paises Bajos;68;0.63;5;17;23;23;655;9.63;536;7.88;48;0.71;5.45;52.30
Italia;66;0.61;7;22;18;19;203;3.08;526;7.97;58;0.88;12.49;42.49
Croacia;53;0.49;5;12;20;16;422;7.96;538;10.15;30;0.57;15.30;45.10
Colombia;53;0.49;4;13;13;23;222;4.19;412;7.77;22;0.42;-72;4
Alemania;48;0.44;7;14;17;10;315;6.56;378;7.88;27;0.56;9;51
Chile;47;0.44;2;11;15;19;322;6.85;315;6.7;27;0.57;-70.38;-33.28
Rumania;45;0.42;4;13;11;17;302;6.71;430;9.56;35;0.78;25;46
Mexico;40;0.37;1;8;16;15;465;11.62;302;7.55;29;0.73;-99.08;19.25
Marruecos;39;0.36;3;8;12;16;337;8.64;261;6.69;37;0.95;-5;32
Dinamarca;37;0.34;1;7;13;16;230;6.22;255;6.89;14;0.38;10;56
Nigeria;36;0.33;3;5;8;20;242;6.72;175;4.86;14;0.39;8;10
Reino Unido;33;0.31;0;7;13;13;269;8.15;164;4.97;9;-2;54
Hungria;32;0.3;5;2;10;15;451;14.09;55;1.72;12;0.38;20;47
Camerun;30;0.28;3;8;11;8;243;8.1;244;8.13;17;0.57;12;6
Peru;27;0.25;0;8;11;8;125;4.63;105;3.89;11;0.41;-77.1;-12.2
Bosnia;27;0.25;0;6;7;14;359;13.3;273;10.11;17;0.63;18;44
Belgica;27;0.25;7;3;10;7;46;1.7;96;3.56;6;0.22;4;50.49
Costa de Marfil;26;0.24;0;4;12;10;55;2.12;164;6.31;13;0.5;-5;8
Ghana;24;0.22;0;1;14;9;53;2.21;140;5.83;6;0.25;-2;8
Rusia;24;0.22;2;3;9;10;262;10.92;246;10.25;21;0.88;100;60
Venezuela;23;0.21;1;6;5;11;157;6.83;224;9.74;15;0.65;-66;8
