CENTRO,ANIO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRANSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS
SAMBORONDÓN,2012,FEBRERO,17.684,2.602,2.762,3.439,690,327,3,27.507
SAMBORONDÓN,2012,MARZO,21.836,2.945,3.568,3.171,700,219,18,32.457
SAMBORONDÓN,2012,ABRIL,20.856,3.161,3.114,2.541,730,34,53,30.489
SAMBORONDÓN,2012,MAYO,24.164,3.736,2.836,2.213,610,15,15,33.589
SAMBORONDÓN,2012,JUNIO,23.639,3.819,2.598,1.148,611,10,12,31.837
SAMBORONDÓN,2012,JULIO,25.994,4.800,2.648,1.379,921,7,13,35.762
SAMBORONDÓN,2012,AGOSTO,23.662,3.128,2.313,767,1.075,1,25,30.971
SAMBORONDÓN,2012,SEPTIEMBRE,21.233,3.399,1.993,562,1.188,5,14,28.394
SAMBORONDÓN,2012,OCTUBRE,19.950,3.754,2.421,701,1.340,3,6,28.175
SAMBORONDÓN,2012,NOVIEMBRE,20.685,3.410,2.289,803,1.465,2,4,28.658
SAMBORONDÓN,2012,DICIEMBRE,25.570,4.604,3.100,2.066,1.518,7,7,36.872
SAMBORONDÓN,2013,ENERO,37.598,3.234,2.302,2.285,644,12,16,46.091
SAMBORONDÓN,2013,FEBRERO,37.623,3.660,2.674,2.201,489,45,42,46.734
SAMBORONDÓN,2013,MARZO,42.649,3.840,3.653,4.144,619,480,46,55.431
SAMBORONDÓN,2013,ABRIL,40.124,3.552,3.637,2.673,661,29,22,50.698
SAMBORONDÓN,2013,MAYO,40.168,3.834,3.928,1.669,824,6,24,50.453
SAMBORONDÓN,2013,JUNIO,40.253,3.748,3.850,1.089,764,2,6,49.712
SAMBORONDÓN,2013,JULIO,36.345,3.667,4.364,983,941,5,30,46.335
SAMBORONDÓN,2013,AGOSTO,34.370,3.628,5.165,1.114,1.357,14,22,45.670
SAMBORONDÓN,2013,SEPTIEMBRE,37.540,3.749,5.235,1.437,1.469,16,12,49.458
SAMBORONDÓN,2013,OCTUBRE,35.998,3.789,5.256,1.069,1.378,13,14,47.517
